4	29	1
4	349	2
4	903	1
4	949	1
4	1027	3
4	1063	2
4	1186	3
4	1255	1
4	1347	1
13	284	1
13	665	1
13	723	1
13	738	3
13	891	7
13	1189	4
16	898	3
16	1016	4
16	1041	3
16	1308	1
29	349	1
29	903	4
29	1027	1
29	1063	1
29	1186	1
100	111	1
100	463	5
100	723	5
100	1006	4
111	258	1
111	463	1
111	582	1
111	692	1
111	723	1
111	738	5
111	846	1
111	852	1
111	863	4
111	891	5
111	1026	1
140	235	1
140	250	1
140	341	1
140	582	1
140	803	6
140	852	1
140	863	1
140	1026	1
140	1141	1
140	1230	1
184	250	4
184	670	2
184	692	3
184	1189	1
235	341	6
235	704	5
235	733	5
235	803	1
235	898	1
235	989	1
235	1016	1
235	1041	3
235	1141	7
250	582	1
250	670	1
250	692	3
250	852	1
250	863	1
250	1026	1
250	1230	1
258	284	5
258	582	4
258	665	4
258	692	2
258	846	2
258	852	4
258	891	5
258	1026	1
258	1189	1
258	1230	1
284	582	1
284	665	5
284	852	1
284	891	5
323	516	1
323	551	1
323	967	1
323	969	3
323	989	2
323	1053	2
341	704	3
341	733	1
341	803	1
341	898	1
341	989	1
341	1016	1
341	1041	3
341	1141	6
349	548	3
349	903	2
349	949	7
349	1023	3
349	1027	5
349	1063	7
349	1186	6
349	1347	5
421	516	1
421	967	1
421	989	1
421	1023	1
451	692	1
451	852	1
451	1026	2
451	1039	1
451	1230	3
463	723	5
463	1006	5
516	551	6
516	624	5
516	967	7
516	969	1
516	989	8
548	621	1
548	949	3
548	1023	6
548	1027	1
548	1063	3
548	1186	4
548	1255	1
548	1347	2
551	624	5
551	967	4
551	969	1
551	989	5
582	692	2
582	846	3
582	852	5
582	863	1
582	891	1
582	1026	2
582	1189	1
582	1230	2
621	1023	1
621	1027	1
621	1186	3
621	1255	4
624	670	1
624	967	3
624	989	4
665	891	5
670	692	1
670	733	1
670	1189	1
692	846	2
692	852	3
692	891	1
692	1026	2
692	1189	1
692	1230	1
704	733	2
704	989	1
704	1041	2
704	1141	3
723	738	1
723	891	1
723	1006	4
733	898	1
733	1016	1
733	1041	1
733	1141	1
738	863	4
738	891	8
738	1103	1
738	1189	1
738	1230	1
803	1141	1
846	852	3
846	891	1
846	1026	1
846	1103	1
846	1189	1
846	1230	2
852	863	1
852	891	1
852	1026	3
852	1189	1
852	1230	2
863	891	5
863	1026	1
863	1230	1
891	1189	5
891	1230	1
898	1016	5
898	1041	4
898	1141	1
898	1308	1
903	949	1
903	1027	1
903	1063	1
903	1186	1
949	1023	3
949	1027	4
949	1063	6
949	1186	5
949	1347	5
967	969	1
967	989	7
969	989	1
969	1053	1
989	1041	1
989	1053	1
989	1141	1
1016	1041	5
1016	1141	1
1016	1308	8
1023	1027	1
1023	1063	3
1023	1186	7
1023	1255	1
1023	1347	2
1026	1103	1
1026	1230	3
1027	1063	5
1027	1186	6
1027	1255	1
1027	1347	5
1039	1103	1
1039	1230	1
1041	1141	3
1041	1308	1
1063	1186	6
1063	1347	5
1103	1230	4
1186	1255	2
1186	1347	5
1189	1230	1
